ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000005206,Up-Down-Down,0.5364,SPPL2B
ENSG00000006015,Up-Down-Down,0.5862,REX1BD
ENSG00000007080,Up-Down-Down,0.5269,CCDC124
ENSG00000008405,Down-Up-Down,0.5344,CRY1
ENSG00000008710,Up-Down-Down,0.6809,PKD1
ENSG00000009413,Down-Up-Down,0.5692,REV3L
ENSG00000010292,Down-Down-Up,0.5019,NCAPD2
ENSG00000010818,Up-Up-Down,0.5208,HIVEP2
ENSG00000011405,Down-Up-Down,0.5657,PIK3C2A
ENSG00000014123,Down-Up-Down,0.5567,UFL1
ENSG00000023287,Down-Up-Down,0.5538,RB1CC1
ENSG00000023909,Down-Up-Down,0.5613,GCLM
ENSG00000032219,Down-Up-Down,0.5505,ARID4A
ENSG00000033627,Up-Up-Down,0.5122,ATP6V0A1
ENSG00000033867,Down-Up-Down,0.5745,SLC4A7
ENSG00000039319,Down-Up-Down,0.5313,ZFYVE16
ENSG00000041353,Down-Up-Down,0.6624,RAB27B
ENSG00000048405,Down-Up-Down,0.5366,ZNF800
ENSG00000050405,Down-Up-Down,0.5,LIMA1
ENSG00000052802,Down-Up-Down,0.5252,MSMO1
ENSG00000054598,Down-Up-Down,0.5195,FOXC1
ENSG00000063245,Up-Down-Down,0.5081,EPN1
ENSG00000064932,Up-Down-Down,0.5346,SBNO2
ENSG00000065054,Up-Down-Down,0.5956,SLC9A3R2
ENSG00000065268,Up-Down-Down,0.5816,WDR18
ENSG00000066279,Down-Up-Down,0.5711,ASPM
ENSG00000067167,Down-Up-Down,0.6345,TRAM1
ENSG00000067900,Down-Up-Down,0.5253,ROCK1
ENSG00000069011,Up-Down-Down,0.5498,PITX1
ENSG00000069275,Down-Down-Up,0.5002,NUCKS1
ENSG00000070423,Up-Down-Down,0.5797,RNF126
ENSG00000071894,Up-Down-Down,0.5886,CPSF1
ENSG00000073169,Up-Down-Down,0.6401,SELENOO
ENSG00000074071,Up-Down-Down,0.5733,MRPS34
ENSG00000074695,Down-Up-Down,0.5825,LMAN1
ENSG00000074855,Up-Down-Down,0.5171,ANO8
ENSG00000075223,Down-Up-Down,0.5577,SEMA3C
ENSG00000076003,Down-Down-Up,0.677,MCM6
ENSG00000076248,Down-Down-Up,0.6289,UNG
ENSG00000077147,Down-Up-Down,0.5,TM9SF3
ENSG00000077232,Down-Up-Down,0.5234,DNAJC10
ENSG00000077458,Down-Up-Down,0.5423,FAM76B
ENSG00000077514,Down-Down-Up,0.5195,POLD3
ENSG00000078177,Down-Up-Down,0.5501,N4BP2
ENSG00000079313,Up-Down-Down,0.6137,REXO1
