ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000100906,Down-Up-Down,0.5657,NFKBIA
ENSG00000101104,Up-Down-Up,0.6734,PABPC1L
ENSG00000101246,Up-Down-Up,0.6549,ARFRP1
ENSG00000101363,Down-Down-Up,0.5082,MANBAL
ENSG00000101439,Up-Down-Up,0.581,CST3
ENSG00000101745,Down-Up-Down,0.8499,ANKRD12
ENSG00000102189,Down-Up-Down,0.571,EEA1
ENSG00000102390,Down-Up-Down,0.5062,PBDC1
ENSG00000102401,Down-Up-Down,0.564,ARMCX3
ENSG00000102580,Down-Up-Down,0.5832,DNAJC3
ENSG00000102854,Up-Down-Up,0.5412,MSLN
ENSG00000103064,Down-Down-Up,0.5126,SLC7A6
ENSG00000103168,Up-Down-Up,0.6655,TAF1C
ENSG00000103249,Up-Down-Up,0.5734,CLCN7
ENSG00000103335,Up-Down-Up,0.5342,PIEZO1
ENSG00000103363,Up-Down-Up,0.7404,ELOB
ENSG00000104299,Down-Down-Up,0.5083,INTS9
ENSG00000104756,Down-Up-Down,0.5274,KCTD9
ENSG00000104885,Up-Down-Up,0.501,DOT1L
ENSG00000104886,Up-Down-Up,0.6674,PLEKHJ1
ENSG00000104907,Up-Down-Up,0.6163,TRMT1
ENSG00000104936,Up-Down-Up,0.5179,DMPK
ENSG00000104960,Up-Down-Up,0.5601,PTOV1
ENSG00000104973,Up-Down-Up,0.5012,MED25
ENSG00000105135,Up-Down-Up,0.5144,ILVBL
ENSG00000105325,Up-Down-Up,0.6579,FZR1
ENSG00000105364,Up-Down-Up,0.6217,MRPL4
ENSG00000105397,Up-Down-Up,0.5801,TYK2
ENSG00000105404,Up-Down-Up,0.5169,RABAC1
ENSG00000105552,Up-Down-Up,0.5804,BCAT2
ENSG00000105671,Up-Down-Up,0.6904,DDX49
ENSG00000105726,Up-Down-Up,0.534,ATP13A1
ENSG00000105755,Down-Down-Up,0.5228,ETHE1
ENSG00000105835,Down-Up-Down,0.5002,NAMPT
ENSG00000106003,Up-Down-Up,0.5255,LFNG
ENSG00000106009,Up-Down-Up,0.5026,BRAT1
ENSG00000106089,Up-Down-Up,0.6523,STX1A
ENSG00000106211,Up-Down-Up,0.5732,HSPB1
ENSG00000106266,Up-Down-Up,0.5253,SNX8
ENSG00000107223,Up-Down-Up,0.5069,EDF1
ENSG00000107331,Up-Down-Up,0.5708,ABCA2
ENSG00000107816,Up-Down-Up,0.5111,LZTS2
ENSG00000108061,Down-Up-Down,0.5092,SHOC2
ENSG00000108468,Down-Up-Down,0.5012,CBX1
ENSG00000108479,Up-Down-Up,0.5131,GALK1
ENSG00000108510,Down-Up-Down,0.5,MED13
ENSG00000108639,Up-Down-Up,0.5405,SYNGR2
ENSG00000108679,Up-Down-Up,0.522,LGALS3BP
ENSG00000108784,Up-Down-Up,0.5652,NAGLU
ENSG00000108953,Down-Up-Down,0.5045,YWHAE
ENSG00000109171,Down-Up-Down,0.5015,SLAIN2
ENSG00000109321,Down-Up-Down,0.5472,AREG
ENSG00000109534,Down-Up-Down,0.5018,GAR1
ENSG00000109572,Down-Up-Down,0.5018,CLCN3
ENSG00000109610,Up-Down-Up,0.5187,SOD3
ENSG00000109814,Down-Up-Down,0.6913,UGDH
ENSG00000109881,Down-Up-Down,0.5209,CCDC34
ENSG00000110330,Down-Up-Down,0.5457,BIRC2
ENSG00000110717,Up-Down-Up,0.6817,NDUFS8
ENSG00000110719,Up-Down-Up,0.6063,TCIRG1
ENSG00000111678,Up-Down-Up,0.6124,C12orf57
ENSG00000111775,Down-Down-Up,0.5358,COX6A1
ENSG00000111832,Down-Up-Down,0.5014,RWDD1
ENSG00000112419,Down-Up-Down,0.5085,PHACTR2
